geo_type,region,transportation_type,alternative_name,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01
city,Birmingham - Alabama,driving,,100.0,100.39,101.95,105.97,124.99,109.89,84.12,99.43,97.73,97.87,104.81,122.05,116.86,74.25,98.87,98.58,96.17,105.42,124.98,114.77,78.92,94.57,97.1,96.17,102.71,120.15,116.09,82.85,95.58,101.42,103.6,115.8,139.46,121.43,89.26,101.21,105.05,110.39,114.27,137.02,126.67,81.3,107.92,109.7,110.7,120.04,141.17,132.82,87.87,101.9,109.58,109.44,123.83,147.38,146.35,94.43,107.18,111.16,109.89,116.79,122.45,111.57,69.08,82.35,76.24,72.59,69.46,73.33,59.22,41.13,51.37,57.11,59.5,62.38,66.12,56.03,43.45,57.28,55.92,61.24,62.52,68.89,53.53,38.97,55.39,54.36,56.89,63.28,68.22,58.94,28.15,61.07,64.75,68.64,71.67,79.49,70.49,40.74,73.38,73.89,74.99,67.71,84.84,75.47,57.66,74.41,77.0,71.84,84.46,95.84
city,Birmingham - Alabama,transit,,100.0,105.69,102.7,104.55,114.79,136.98,92.89,115.08,102.13,114.79,115.65,136.84,121.76,82.79,116.36,103.84,115.79,111.24,122.48,123.19,94.17,104.41,106.83,112.23,124.04,112.09,119.77,95.02,114.65,102.7,114.37,117.5,128.59,114.51,81.65,116.36,111.81,125.18,110.24,135.14,119.35,85.21,116.22,119.91,116.64,116.07,129.59,132.43,95.31,109.39,121.62,96.44,117.78,141.11,152.06,84.21,105.97,125.18,107.82,124.04,110.95,116.64,78.24,91.18,84.92,75.39,75.96,71.12,67.99,46.51,59.6,59.03,65.29,63.87,67.43,62.59,49.5,56.05,54.34,61.31,54.05,62.87,55.19,41.54,51.49,50.64,56.61,61.17,55.33,55.33,38.41,63.87,68.85,56.9,68.71,69.13,66.86,46.66,68.99,81.65,63.16,66.15,66.71,67.85,57.47,77.24,72.83,76.67,72.4,82.36
city,Birmingham - Alabama,walking,,100.0,94.69,98.19,102.98,122.6,124.46,80.39,86.44,90.75,93.73,90.6,126.81,139.08,64.82,88.17,98.97,91.76,100.41,126.44,129.06,72.9,94.11,94.05,92.55,94.43,119.35,135.55,74.19,80.48,94.2,101.0,114.1,146.68,149.17,94.9,98.42,93.74,105.19,95.59,154.97,142.76,66.5,98.02,114.0,108.37,118.65,145.4,160.64,76.06,88.59,107.9,100.69,112.16,151.71,164.32,85.34,100.15,105.33,102.34,115.24,110.84,114.48,59.9,77.73,72.97,68.35,69.22,69.35,59.97,38.97,52.67,58.21,61.53,65.06,64.83,55.67,44.53,62.41,52.84,63.96,62.17,66.01,55.53,42.52,55.33,52.87,57.38,66.87,75.01,64.13,25.07,63.44,67.27,69.48,72.3,78.4,73.64,35.7,75.05,71.99,69.27,63.45,82.75,72.76,55.21,72.65,75.75,71.89,79.41,90.95
city,Birmingham - UK,driving,,100.0,104.03,102.98,103.8,105.29,102.57,85.85,104.19,107.52,106.28,107.32,109.67,106.49,87.77,99.69,108.12,108.75,102.93,110.65,106.63,89.76,99.36,105.25,104.19,107.74,114.86,104.45,84.46,103.17,108.72,106.75,106.71,118.65,103.96,95.88,112.14,113.38,117.4,120.3,120.5,107.54,101.81,104.81,117.91,109.54,106.67,122.35,110.72,90.96,103.13,111.88,109.46,109.59,114.06,110.9,90.8,100.83,104.42,103.38,95.73,96.96,87.48,70.84,77.77,69.62,67.46,66.72,66.42,53.56,43.29,52.48,38.79,36.3,35.55,37.77,30.54,25.0,33.52,35.18,34.77,34.51,38.16,32.58,27.28,35.75,36.9,37.67,38.58,36.16,33.41,25.42,31.77,40.26,41.55,41.24,43.27,35.88,32.27,41.37,42.09,43.7,43.2,47.05,39.94,34.31,42.79,42.55,43.8,44.47,49.41
city,Birmingham - UK,transit,,100.0,102.32,103.58,100.84,97.53,87.24,83.08,102.35,103.16,106.99,100.85,99.86,90.47,83.71,103.48,106.51,105.37,103.24,98.45,88.86,82.38,101.36,105.08,108.81,102.72,103.46,89.19,80.68,101.47,105.77,107.16,103.45,104.24,88.53,86.75,106.79,110.96,110.95,107.66,104.25,90.49,84.76,105.75,111.82,108.14,106.13,112.85,94.0,88.61,109.78,115.28,110.29,105.52,107.38,95.28,83.67,104.3,104.25,103.65,96.03,88.18,73.05,64.75,77.11,63.43,57.82,51.91,50.73,39.31,35.23,36.28,28.4,24.84,22.83,23.04,20.84,20.01,24.44,22.51,22.02,20.4,21.48,19.26,19.02,19.89,20.84,20.39,19.05,18.44,16.51,17.52,20.43,22.7,22.27,21.54,20.22,17.89,18.17,21.82,22.21,21.67,20.81,19.56,19.24,18.68,22.85,21.24,21.22,20.44,21.09
city,Birmingham - UK,walking,,100.0,108.45,116.34,111.06,124.85,161.21,98.32,112.92,121.15,126.35,123.56,145.85,192.1,94.15,109.59,125.46,145.09,121.28,141.72,182.14,102.12,110.14,121.02,126.68,125.22,134.08,166.45,76.23,102.4,117.76,123.76,119.11,165.71,160.79,96.98,122.71,123.58,132.16,137.18,146.27,173.57,95.43,108.78,146.28,122.19,120.62,140.97,189.7,104.45,115.09,122.58,123.15,116.28,142.53,195.42,93.04,101.25,113.56,115.78,105.2,115.74,134.46,71.09,76.29,64.74,56.64,56.6,61.59,51.43,41.64,49.72,41.06,43.45,41.43,43.41,38.53,32.1,36.17,41.87,40.31,41.39,46.43,41.63,35.9,40.55,44.76,46.04,45.82,47.27,45.94,35.68,38.97,48.97,51.74,50.57,48.04,40.2,42.19,49.6,49.81,51.32,50.02,55.76,51.58,40.84,44.92,37.74,40.61,41.28,48.17
city,Bochum - Dortmund,driving,,100.0,100.72,105.4,100.43,111.27,101.16,91.71,97.6,101.83,102.99,99.66,104.59,96.99,91.5,97.36,101.8,101.48,101.41,111.56,114.96,96.38,99.29,104.87,101.22,100.85,108.84,105.91,85.81,97.71,104.06,108.43,122.64,119.28,108.39,94.21,103.41,113.69,103.96,98.78,106.72,100.31,78.55,92.35,104.1,100.68,100.89,106.25,104.7,93.55,96.7,107.98,101.06,100.27,106.04,105.05,92.17,95.6,98.43,94.63,89.72,83.33,75.3,64.25,66.98,63.95,58.64,52.42,47.97,39.22,38.51,45.99,45.99,47.83,49.47,50.57,45.91,40.49,51.1,54.34,55.17,53.27,52.97,50.29,54.64,60.48,61.58,63.71,60.39,51.65,53.18,45.4,52.65,62.14,65.55,67.48,66.8,56.53,62.13,69.17,70.36,71.43,72.66,67.4,62.04,62.79,69.56,67.91,69.8,70.97,59.4
city,Bochum - Dortmund,transit,,100.0,107.13,109.66,102.93,105.33,102.96,99.0,106.09,110.76,103.2,101.96,111.42,101.86,102.93,108.42,106.29,107.43,106.39,111.59,127.91,111.99,110.89,110.72,98.97,103.86,106.76,111.02,98.04,114.15,116.65,117.32,114.69,118.55,115.28,127.61,236.43,216.42,151.88,145.95,151.25,154.35,135.43,144.52,145.15,142.72,139.89,149.92,166.83,148.82,149.05,153.15,143.29,139.39,144.52,160.74,149.95,138.69,129.04,126.47,123.31,101.43,102.5,91.71,88.91,80.02,75.69,65.07,56.24,51.58,52.88,61.64,59.91,55.88,59.04,61.27,63.87,54.58,59.04,65.07,62.34,64.07,60.04,63.84,80.12,77.26,78.16,77.52,76.46,76.06,71.73,77.29,77.46,78.92,86.48,83.75,84.12,75.19,96.24,86.31,84.38,89.41,92.61,76.79,79.62,93.97,93.07,87.21,84.28,80.42,78.62
city,Bochum - Dortmund,walking,,100.0,103.34,106.03,109.23,113.88,121.21,83.67,95.97,102.26,95.71,103.03,120.61,117.57,83.23,96.88,96.14,96.78,103.61,124.33,147.95,84.52,108.91,104.17,104.93,106.25,122.7,136.96,63.14,87.73,101.16,105.84,103.79,139.05,139.12,80.99,110.23,139.88,98.23,98.65,109.76,119.95,66.53,91.5,97.91,91.98,93.85,113.6,130.94,84.7,98.45,109.7,96.59,97.05,108.75,133.05,85.99,93.08,87.96,89.77,90.77,87.0,90.2,67.24,76.55,74.91,66.77,59.45,48.87,47.26,47.53,54.16,54.37,56.71,56.36,62.81,63.52,37.36,52.83,60.66,64.9,57.68,54.53,70.69,85.06,83.44,79.57,82.09,77.5,86.32,80.16,74.0,66.43,67.99,78.06,84.76,84.19,71.29,88.82,82.89,80.7,81.28,83.55,79.0,79.32,83.02,81.89,64.52,67.42,73.18,64.91
city,Boston,driving,,100.0,102.84,108.22,109.17,124.38,102.86,84.1,96.18,101.76,102.08,105.25,121.47,110.97,85.57,92.36,97.64,101.09,104.86,119.76,111.52,79.1,92.4,98.52,100.31,101.35,118.91,113.82,86.95,95.1,102.03,104.54,108.95,132.65,115.01,91.91,96.23,103.09,106.54,107.25,121.26,114.81,88.86,97.75,102.46,104.67,112.25,126.72,120.81,92.44,97.76,108.66,103.24,110.35,121.4,113.53,91.06,100.2,98.55,96.6,90.89,92.56,80.61,59.66,64.49,54.72,56.98,49.03,58.15,50.53,37.86,42.31,40.65,38.33,42.77,49.56,44.67,29.68,37.99,41.51,41.16,38.93,41.89,43.16,35.41,42.53,43.91,40.27,39.41,48.47,47.59,31.69,35.54,47.43,46.97,46.27,53.2,41.13,45.87,45.71,44.37,47.5,52.44,50.9,58.4,38.06,42.24,50.86,54.1,50.73,57.25
city,Boston,transit,,100.0,100.59,105.25,104.49,111.98,109.27,95.06,101.35,101.06,103.02,106.54,120.9,117.23,93.79,96.13,99.03,100.64,107.32,121.19,118.27,86.04,100.45,102.22,100.18,101.07,119.03,120.94,90.87,97.37,99.9,102.97,108.57,129.43,121.9,101.62,104.72,107.78,111.2,112.32,124.86,123.07,90.72,98.85,103.5,104.59,113.24,126.75,121.56,90.25,96.94,105.92,98.23,105.63,110.78,104.82,87.85,98.17,91.27,82.99,67.58,60.01,55.73,40.6,38.33,30.97,30.1,25.85,26.2,23.17,19.83,19.95,18.96,18.18,19.53,20.19,18.9,16.24,18.84,18.78,17.36,17.07,15.84,17.64,16.11,18.3,18.38,17.65,17.14,17.16,17.21,15.27,17.35,18.3,19.35,16.55,17.61,16.55,17.71,18.3,18.15,17.89,18.5,16.91,18.82,15.58,17.92,19.41,19.37,17.9,18.7
city,Boston,walking,,100.0,103.98,113.98,107.34,112.25,122.85,107.63,98.35,97.42,103.55,109.29,139.24,141.8,106.54,96.25,100.26,102.48,110.8,141.63,158.06,93.68,95.95,103.6,103.21,93.94,126.47,150.39,96.19,90.25,94.04,108.28,111.29,146.16,165.25,131.02,115.7,99.17,115.09,113.84,137.19,163.65,114.38,105.75,104.98,107.75,115.23,140.48,157.8,104.03,100.0,124.15,101.16,120.16,135.67,147.03,109.47,117.26,103.21,94.67,82.12,80.72,92.01,61.07,48.95,41.07,49.23,31.78,48.03,45.45,31.83,28.69,33.86,29.46,37.53,44.49,40.83,21.0,27.39,34.09,30.71,26.29,26.37,38.38,33.28,38.33,38.9,31.05,25.67,33.48,38.84,31.06,22.49,37.78,34.86,31.34,36.18,26.89,42.68,34.34,29.52,31.56,37.75,31.24,51.1,26.79,25.58,36.04,40.25,33.25,38.84
city,Bridgeport,driving,,100.0,103.87,107.27,106.25,123.8,94.73,89.48,106.86,99.13,99.33,104.06,119.25,112.49,87.69,90.88,95.23,94.27,101.51,123.84,112.26,81.06,92.0,94.55,94.62,98.5,116.29,115.78,86.28,94.09,101.46,100.34,108.97,134.18,117.19,92.88,111.9,103.31,105.51,110.55,128.31,125.07,102.05,98.59,102.41,108.68,109.73,129.67,127.02,93.67,101.08,102.67,104.06,111.35,125.99,118.9,93.07,102.17,101.26,99.9,92.95,99.61,91.88,68.46,74.0,63.45,62.93,57.01,65.63,56.88,41.69,40.77,48.43,45.6,51.14,58.01,45.66,32.48,45.05,47.46,48.85,47.4,50.82,50.71,38.94,50.69,50.68,47.74,46.15,53.47,53.81,33.13,39.43,54.28,57.52,56.38,64.23,53.7,51.81,55.99,50.18,61.76,58.27,59.52,70.75,43.01,55.46,70.41,65.37,58.95,73.4
city,Bridgeport,transit,,100.0,92.42,95.86,94.9,102.67,90.9,86.67,102.76,102.85,114.15,106.39,112.55,102.71,89.11,105.1,99.13,96.09,95.45,99.03,103.54,82.81,96.83,100.83,101.1,91.59,109.19,103.86,83.36,96.28,101.93,100.97,109.15,121.97,107.49,92.28,116.27,101.15,109.28,111.03,114.15,109.01,96.51,99.13,101.15,101.1,102.48,116.68,111.4,86.58,100.92,100.28,105.97,96.46,111.4,107.08,89.71,100.55,94.3,89.61,78.91,76.61,80.19,60.39,62.27,51.79,50.78,39.15,41.91,43.8,36.12,35.06,33.92,33.36,30.74,34.56,31.57,30.06,34.24,30.33,36.17,25.69,30.15,31.34,29.6,31.76,30.7,30.24,31.71,34.65,33.46,27.39,30.42,36.03,34.6,28.86,32.26,29.14,29.0,27.76,28.31,30.19,28.13,28.4,31.99,22.84,26.47,31.85,28.03,29.6,32.4
city,Bridgeport,walking,,100.0,102.45,116.05,106.74,123.02,102.5,87.99,97.0,100.25,105.25,97.15,126.7,116.15,90.99,87.58,100.81,93.29,94.09,122.72,131.15,84.1,98.64,98.13,93.66,94.88,118.1,120.9,85.18,92.0,95.28,103.86,107.14,126.45,120.55,87.94,109.31,101.84,104.11,104.59,131.27,132.61,96.67,105.15,99.57,97.58,101.51,125.09,136.42,91.8,98.49,103.71,104.97,110.83,122.61,124.99,96.97,112.54,107.27,105.02,92.23,101.72,107.19,81.63,86.52,84.65,81.93,74.28,87.15,74.36,59.04,46.19,70.77,59.84,69.61,86.98,62.92,39.7,58.2,67.62,73.45,64.31,65.22,69.94,61.91,75.14,73.8,64.84,60.37,67.52,73.85,58.18,45.68,71.2,76.53,69.26,80.87,60.75,75.9,70.57,63.18,74.68,74.23,69.76,97.02,53.03,66.61,91.57,79.96,71.91,91.95
city,Brisbane,driving,,100.0,100.66,108.23,107.65,108.75,84.21,101.33,101.87,106.19,107.85,113.67,98.54,73.18,66.52,95.93,99.45,102.47,107.48,106.59,82.55,95.64,98.96,97.55,109.87,118.91,107.1,80.56,94.05,100.21,106.36,111.61,116.12,110.89,86.96,98.01,105.12,108.74,110.46,113.6,112.19,86.83,97.36,103.1,107.32,110.96,116.02,112.99,86.96,95.75,101.63,104.21,104.46,110.37,107.77,83.83,95.79,96.14,99.22,104.93,103.37,97.03,72.9,83.63,81.95,80.31,80.89,84.65,74.09,54.96,67.13,65.84,64.71,63.87,66.39,50.4,36.6,53.81,54.17,54.64,54.34,57.4,44.47,36.0,55.05,56.63,57.7,61.44,31.97,36.73,26.66,30.52,55.1,57.39,58.47,60.9,47.32,35.76,54.44,55.69,58.29,59.56,63.82,44.83,45.84,60.91,62.28,64.46,66.07,71.04,65.52
city,Brisbane,transit,,100.0,100.45,100.07,97.53,91.9,81.25,102.22,107.05,108.03,111.32,108.44,91.88,76.62,74.0,104.22,104.2,102.83,104.6,104.81,84.02,99.43,98.6,96.18,93.52,97.13,94.43,76.92,97.29,100.3,103.6,105.31,110.85,114.43,102.77,120.41,124.33,124.53,123.34,121.64,115.55,92.16,132.4,129.42,132.63,123.25,128.63,120.62,97.13,116.19,117.68,118.32,118.5,118.24,105.89,83.91,101.69,106.9,108.15,106.08,98.67,88.89,74.39,81.96,75.8,73.94,66.65,66.83,59.25,43.78,46.23,42.2,38.87,33.48,31.92,27.45,22.42,26.21,25.37,25.94,23.01,23.71,21.92,20.86,25.22,23.53,22.09,21.56,18.82,18.07,16.42,17.2,22.7,22.8,24.04,23.0,22.77,18.85,24.24,20.72,24.5,22.95,24.53,21.35,22.01,25.36,26.28,26.43,24.98,25.99,27.88
city,Brisbane,walking,,100.0,98.17,97.04,102.04,106.63,93.91,93.36,91.91,97.19,99.92,101.75,96.26,81.88,69.68,87.18,91.98,94.64,106.18,124.11,104.74,85.72,89.93,92.55,80.72,95.3,106.56,82.53,88.77,90.65,93.28,98.52,119.47,123.86,104.88,101.48,107.45,103.7,105.41,111.33,121.49,102.28,104.09,107.21,109.23,106.54,109.16,120.87,103.13,95.86,99.88,98.35,100.44,105.97,112.78,99.97,76.95,85.3,93.68,91.36,94.97,100.7,84.98,75.21,70.59,66.8,64.56,65.63,63.56,47.56,52.01,49.3,50.37,47.95,47.1,45.74,31.42,40.7,40.64,40.36,40.4,41.97,37.97,31.51,42.98,42.66,41.38,42.47,30.8,33.83,26.87,30.92,41.92,42.75,42.47,43.55,37.14,31.93,39.89,41.49,41.8,42.59,43.54,39.4,38.02,42.44,42.22,44.61,45.61,46.15,46.21
city,Brussels,driving,Brussel,100.0,101.83,106.5,109.12,118.83,119.39,98.47,104.01,111.26,110.05,106.49,113.79,115.9,98.97,105.47,107.58,108.76,113.33,121.13,118.42,98.76,105.07,105.89,107.62,111.16,122.58,128.68,100.05,112.79,114.5,113.77,119.85,133.22,139.38,108.85,117.19,122.69,121.29,124.12,128.59,117.08,96.94,109.11,111.99,112.38,110.19,116.54,108.28,95.09,106.21,107.81,111.17,118.16,123.53,124.29,96.47,103.12,99.0,99.09,84.59,74.59,54.79,47.81,51.86,47.02,34.97,29.95,28.16,25.54,24.62,27.27,28.44,28.24,28.82,29.45,26.23,21.58,27.12,28.2,29.31,28.85,29.77,28.21,29.25,31.49,33.48,34.17,35.63,37.02,35.04,27.98,28.37,34.92,36.01,37.15,37.04,30.81,31.9,36.96,38.36,39.94,39.67,38.56,37.34,36.77,38.75,38.14,39.54,39.89,35.99
city,Brussels,transit,Brussel,100.0,98.29,107.02,108.63,119.74,116.05,101.4,107.12,115.48,116.35,113.91,122.01,120.76,107.33,116.34,122.34,118.77,120.14,129.83,128.83,115.94,121.09,117.33,122.38,125.3,141.53,144.52,122.44,132.52,133.8,128.12,134.77,147.25,154.02,125.14,137.25,143.57,143.67,139.06,144.44,131.33,117.76,130.11,131.9,132.29,132.87,134.83,116.82,108.19,116.7,123.03,126.64,129.37,144.6,137.51,112.97,112.56,107.33,110.53,89.48,75.44,50.2,42.54,39.65,32.88,21.55,18.24,16.55,16.82,16.08,17.06,16.36,15.44,16.06,16.69,15.35,13.8,14.97,15.34,14.94,14.61,15.93,15.95,17.74,16.95,17.56,18.15,18.77,18.82,19.16,17.53,17.74,18.92,19.66,18.75,19.03,16.48,18.74,19.63,20.81,20.37,21.17,20.01,21.11,22.06,20.83,20.04,20.38,22.49,21.85
city,Brussels,walking,Brussel,100.0,103.69,109.22,121.99,141.56,174.34,113.26,106.29,120.0,122.96,117.47,140.29,171.28,119.25,119.93,125.74,127.07,135.14,157.1,176.17,115.82,121.64,119.54,128.04,138.41,170.56,199.45,117.19,128.64,142.01,137.64,149.24,201.24,250.18,147.41,154.02,167.16,158.69,159.54,165.14,182.45,114.59,136.07,144.15,141.56,137.25,149.05,158.11,107.12,111.85,130.33,132.44,131.89,155.83,193.96,111.5,113.19,107.32,106.6,98.07,81.06,57.77,45.32,42.41,39.45,32.93,26.11,22.98,31.09,31.63,26.89,26.16,27.29,27.13,29.29,33.63,20.5,22.48,26.02,26.37,23.07,26.07,35.97,42.81,30.89,34.02,34.46,37.13,39.51,47.67,40.52,33.04,30.65,37.21,36.59,37.72,30.36,39.42,35.22,35.64,37.88,39.07,37.22,45.55,49.47,34.94,25.39,30.51,30.7,34.31
city,Budapest,driving,,100.0,98.99,100.19,106.5,120.46,111.94,95.62,99.93,99.63,102.5,112.76,122.66,115.45,94.98,100.14,100.33,100.66,106.39,122.59,122.26,104.05,104.45,104.02,110.13,113.08,129.91,125.59,109.42,111.44,111.3,116.53,133.16,150.82,144.03,118.65,123.9,126.77,125.71,129.52,142.74,133.8,112.77,119.15,121.14,119.88,122.23,133.02,120.81,102.93,108.76,109.4,110.6,117.09,130.56,118.47,99.73,103.65,101.61,98.29,92.78,85.6,64.82,53.87,54.6,45.92,41.44,39.99,38.64,25.54,23.45,28.04,29.77,30.19,31.22,38.5,23.87,25.48,28.8,31.9,32.76,34.18,36.43,30.74,31.22,36.51,39.2,41.88,41.13,27.85,26.35,21.52,27.21,38.54,40.24,41.31,42.23,33.59,31.18,40.02,41.24,43.28,43.35,45.44,34.87,35.37,43.46,45.99,46.13,48.01,35.22
city,Buenos Aires,driving,,100.0,103.5,107.53,112.08,111.03,95.98,70.8,94.33,97.62,103.69,106.45,111.54,95.3,70.38,91.77,96.96,100.46,112.03,119.77,106.52,75.38,98.52,103.51,110.83,112.37,128.94,125.38,82.85,109.07,118.42,128.94,133.1,149.2,132.11,84.07,108.39,125.16,129.15,129.33,147.61,127.13,98.59,96.28,87.35,122.12,132.0,157.31,137.84,88.46,118.53,124.3,135.3,144.85,165.46,151.31,89.49,131.48,130.11,123.15,132.04,136.24,94.83,55.14,73.49,58.6,56.17,56.56,15.47,10.55,7.53,8.84,9.86,15.72,15.07,14.74,11.53,9.03,13.59,11.5,15.23,15.51,16.11,12.47,9.91,15.76,16.74,17.79,16.68,13.6,14.85,11.86,20.52,21.34,22.71,22.15,25.36,17.83,11.86,24.66,25.56,25.62,26.68,29.39,20.01,14.85,26.38,24.97,31.67,33.11,18.43
city,Buenos Aires,walking,,100.0,95.85,99.87,107.59,103.23,91.9,67.0,93.11,93.06,99.22,99.6,96.94,83.64,64.12,88.76,94.22,87.97,101.96,101.2,94.35,64.67,90.6,97.62,100.49,99.41,100.87,106.9,76.75,106.82,112.9,123.58,128.58,144.87,112.14,74.21,95.95,126.76,123.25,123.08,135.88,123.54,106.64,101.36,95.69,125.52,131.89,150.24,128.23,81.67,121.39,128.17,136.05,145.51,154.35,139.23,86.7,137.26,136.11,92.7,139.17,127.61,74.37,50.31,58.5,39.05,33.36,32.06,9.4,6.04,5.25,5.77,6.07,9.07,8.35,8.02,8.54,6.15,8.71,7.34,8.42,8.18,8.87,7.23,6.38,8.17,9.5,11.28,10.15,8.79,9.82,7.05,11.07,11.91,11.18,13.2,13.12,10.19,8.2,12.54,12.48,11.86,13.11,14.16,13.83,12.19,12.43,10.12,15.8,16.94,10.87
city,Cairo,driving,القاهرة,100.0,97.02,102.2,110.89,87.52,96.78,97.19,96.98,100.43,106.05,125.12,101.43,97.5,109.82,111.06,112.69,118.46,124.68,115.69,114.71,113.62,112.69,115.42,119.11,120.56,111.49,109.62,101.41,101.98,104.5,111.94,126.55,111.24,110.83,106.67,107.85,106.95,114.17,119.17,104.3,109.05,103.62,195.53,99.51,115.73,129.6,104.94,112.45,103.81,105.55,108.59,110.91,123.91,103.65,107.24,108.52,100.75,103.99,112.85,34.96,43.88,74.89,86.54,82.74,72.92,70.27,60.41,43.73,44.74,43.78,38.17,36.73,32.55,32.66,17.05,23.47,36.56,36.73,35.59,39.31,39.25,22.87,28.24,36.99,41.45,41.87,39.93,44.06,28.97,35.47,50.27,51.16,51.21,52.87,55.56,33.87,38.43,42.82,30.69,73.85,80.29,65.78,24.68,34.35,45.13,46.62,47.47,52.42,49.01,41.14
city,Cairo,walking,القاهرة,100.0,95.34,100.51,102.81,85.76,93.34,98.93,99.37,97.06,110.94,120.96,92.81,97.23,115.53,114.6,110.75,117.15,120.25,107.59,113.53,116.42,112.39,112.31,115.63,116.1,104.92,110.92,99.84,111.34,110.65,114.97,122.32,104.82,113.69,105.61,106.4,107.57,112.49,113.39,104.74,109.34,103.06,121.49,98.99,117.82,126.47,110.37,113.33,112.23,110.49,112.33,114.07,124.36,103.73,107.29,104.23,98.56,106.7,102.86,33.03,42.32,73.37,83.88,80.8,72.03,67.88,57.57,38.56,47.02,41.45,37.26,35.84,33.64,33.92,19.74,26.81,36.88,34.39,31.53,39.17,36.39,23.47,31.67,37.59,37.65,40.34,37.67,41.56,28.61,34.53,46.31,47.77,46.92,47.53,49.03,29.36,35.68,38.21,26.02,58.12,62.86,52.21,24.93,37.14,45.99,43.09,43.88,45.32,42.28,44.78
city,Calgary,driving,,100.0,101.94,100.5,103.28,113.39,107.23,80.72,100.75,104.51,106.57,107.43,122.12,114.36,79.77,96.35,102.95,103.61,107.49,126.67,111.52,80.58,96.04,102.19,100.27,105.3,119.49,112.8,82.88,97.51,101.44,103.78,111.16,130.28,113.75,90.53,78.39,110.56,109.84,115.46,128.74,124.68,87.66,97.58,103.07,103.35,108.2,124.83,119.33,86.58,97.43,103.94,106.58,106.94,122.52,107.91,80.53,93.64,97.91,98.59,93.08,89.7,68.69,53.52,62.22,59.51,55.21,53.61,59.14,47.86,38.06,48.55,44.86,46.83,47.52,54.27,42.59,36.5,43.26,44.48,45.8,46.14,51.63,45.39,34.11,47.34,46.7,50.93,62.27,46.72,45.34,35.26,47.4,51.25,53.05,59.19,64.29,56.17,48.76,60.14,62.09,62.91,64.67,73.8,63.24,52.07,63.99,67.47,71.05,72.53,82.78
city,Calgary,transit,,100.0,97.6,92.02,96.35,97.68,81.31,78.28,117.22,119.2,115.49,111.5,113.99,95.42,73.49,106.79,112.78,116.83,117.45,119.8,95.66,78.56,105.57,108.22,106.07,112.65,116.43,92.12,73.82,106.64,105.83,110.22,123.36,120.03,97.0,75.69,82.91,107.73,111.31,117.94,126.11,99.8,76.61,107.37,108.4,104.76,107.69,123.13,98.49,75.81,103.99,109.33,112.41,108.98,122.71,90.08,77.0,100.97,102.98,102.18,89.22,77.11,55.83,46.26,48.87,40.63,35.71,32.34,32.91,26.55,24.18,26.34,23.38,25.01,21.55,23.64,18.69,18.82,23.66,21.42,21.63,20.44,19.33,20.18,17.31,23.36,20.8,23.75,22.76,18.18,18.66,16.84,20.23,22.61,21.4,21.47,20.4,20.64,21.07,23.8,23.79,22.14,23.75,26.96,23.26,22.75,25.39,28.2,27.26,27.82,29.18
city,Calgary,walking,,100.0,109.75,107.73,110.55,129.2,127.33,96.13,125.53,146.35,150.62,143.29,169.23,159.13,112.5,123.78,143.63,132.22,146.1,165.58,153.92,100.42,109.81,123.85,124.26,139.52,162.08,144.84,97.82,120.02,133.71,124.11,168.41,200.65,170.43,132.92,91.18,136.93,141.26,173.46,184.29,168.36,104.94,120.58,130.4,136.43,139.76,173.68,158.82,113.31,132.42,137.45,135.88,141.7,172.71,139.88,103.73,125.45,127.38,125.51,116.37,101.87,88.01,69.29,86.9,76.85,65.53,67.41,77.1,69.18,65.11,70.03,64.09,67.38,67.45,73.4,57.78,61.3,53.1,57.62,58.84,56.95,58.01,65.21,49.31,72.66,65.47,73.93,88.37,61.7,63.29,50.48,63.78,66.91,65.78,85.81,83.77,79.23,83.5,95.14,99.56,92.28,90.04,100.68,91.2,80.61,85.24,102.02,105.79,101.47,120.24
